"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-29","3.0",,"0.3","0.0","0.0",,"15.0","8.3",,"   60","   80","7.2","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-04-30","4.1",,"18.0","0.0","0.0",,"15.6","9.4",,"  130","  160","8.1","16.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-01","1.7",,"5.3","0.0","0.0",,"18.9","11.7",,"  300","  300","6.3","10.3","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-02","2.7",,"0.0","0.0","0.0",,"22.8","10.6",,"  250","  280","6.7","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-03","2.5",,"1.0","0.0","0.0",,"26.7","12.2",,"  220","  220","6.3","9.4","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-04","2.6",,"0.0","0.0","0.0",,"23.9","10.0",,"  290","  310","8.1","16.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-05","3.0",,"0.0","0.0","0.0",,"17.2","7.8",,"  280","  250","6.3","9.8",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-06","2.5",,"1.5","0.0","0.0",,"11.1","7.2",,"   60","   60","6.3","8.9","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-07","2.7",,"0.0","0.0","0.0",,"19.4","7.8",,"  290","  250","6.3","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-08","1.9",,"11.4","0.0","0.0",,"13.9","2.2",,"  300","  310","6.7","11.6","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-09","4.0",,"0.8","0.0","0.0",,"8.9","1.1",,"  280","  280","9.4","16.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-10","3.3",,"0.0","0.0","0.0",,"17.8","3.9",,"  250","  230","8.1","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-11","2.6",,"1.3","0.0","0.0",,"16.1","6.7",,"  270","  240","8.9","16.1","    1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-12","3.5",,"0.0","0.0","0.0",,"15.0","6.1",,"  280","  260","7.6","13.0",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-13","2.4",,"0.0","0.0","0.0",,"17.8","5.0",,"  280","  280","5.8","10.3",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-14","1.0",,"0.0","0.0","0.0",,"19.4","8.3",,"  160","  130","4.5","8.5",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-15","2.2",,"1.8","0.0","0.0",,"28.9","15.6",,"  260","  220","6.3","10.3","    1",,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-16","1.7",,"0.3","0.0","0.0",,"25.0","15.0",,"  150","  250","5.4","8.9",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-17","1.4",,"0.0","0.0","0.0",,"20.6","12.8",,"  130","  120","4.5","7.2",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-18",,,"0.0","0.0","0.0",,"21.1","12.2",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-19",,,"0.0","0.0","0.0",,"20.0","11.7",,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2020-05-20",,,"0.0","0.0","0.0",,"18.9","9.4",,,,,,,,,,,
